dept,course,sectionNumber,term,day,startTime,endTime,buildingCd,building,roomNo,instructors,activity,credits,totalSeatsRemaining,currentlyRegistered,generalSeatsRemaining,restrictedSeatsRemaining,termCd,startWk,endWk
"CPSC","121","1W2","1","Thu","15:30","17:00"," "," "," ","TBD","Waiting List","4","995","4","995","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","310","L1H","1","Wed","9:00","11:00","ICCS","Institute for Computing (ICICS/CS)","008","TBD","Laboratory","n/a","7","21","7","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","100","L2H","2","Thu","9:00","10:00","ICCS","Institute for Computing (ICICS/CS)","X050","TBD","Laboratory","n/a","21","3","21","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","100","L1E","1","Wed","16:00","17:00","ICCS","Institute for Computing (ICICS/CS)","X050","TBD","Laboratory","n/a","0","24","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","310","L1C","1","Wed","15:00","17:00","ICCS","Institute for Computing (ICICS/CS)","008","TBD","Laboratory","n/a","0","28","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","221","2W3","2","Mon","12:00","13:00"," "," "," ","TBD","Waiting List","4","929","70","929","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","221","2W3","2","Wed","12:00","13:00"," "," "," ","TBD","Waiting List","4","929","70","929","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","221","2W3","2","Fri","12:00","13:00"," "," "," ","TBD","Waiting List","4","929","70","929","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","210","2W1","2","Mon","14:00","15:00"," "," "," ","TBD","Waiting List","4","943","56","943","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","210","2W1","2","Wed","14:00","15:00"," "," "," ","TBD","Waiting List","4","943","56","943","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","210","2W1","2","Fri","14:00","15:00"," "," "," ","TBD","Waiting List","4","943","56","943","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","121","L1F","1","Fri","15:00","17:00","ICCS","Institute for Computing (ICICS/CS)","011","TBD","Laboratory","n/a","2","24","2","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","121","L1G","1","Fri","13:00","15:00","ICCS","Institute for Computing (ICICS/CS)","011","TBD","Laboratory","n/a","0","26","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","221","L2S","2","Mon","12:00","14:00","ICCS","Institute for Computing (ICICS/CS)","015","TBD","Laboratory","n/a","26","0","0","26","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","110","L1Y","1","Mon","18:00","21:00","ICCS","Institute for Computing (ICICS/CS)","X260","TBD","Laboratory","n/a","10","17","10","0","1","Sep 05, 2017","Dec 01, 2017"
