dept,course,sectionNumber,term,day,startTime,endTime,buildingCd,building,roomNo,instructors,activity,credits,totalSeatsRemaining,currentlyRegistered,generalSeatsRemaining,restrictedSeatsRemaining,termCd,startWk,endWk
"CPSC","210","101","1","Fri","12:00","13:00","DMP","Hugh Dempster Pavilion","310","VOGT, RYAN","Lecture","4","0","165","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","121","2W1","2","Wed","9:00","10:00"," "," "," ","TBD","Waiting List","4","953","46","953","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","121","2W1","2","Fri","9:00","10:00"," "," "," ","TBD","Waiting List","4","953","46","953","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","213","L2J","2","Wed","11:00","12:00","ICCS","Institute for Computing (ICICS/CS)","X251","TBD","Laboratory","n/a","0","28","0","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","210","L1R","1","Thu","8:30","10:30","ICCS","Institute for Computing (ICICS/CS)","014","TBD","Laboratory","n/a","0","28","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","213","L2J","2","Fri","11:00","13:00","ICCS","Institute for Computing (ICICS/CS)","X251","TBD","Laboratory","n/a","0","28","0","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","210","L2V","2","Wed","13:00","15:00","ICCS","Institute for Computing (ICICS/CS)","014","TBD","Laboratory","n/a","0","24","0","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","110","2W2","2","Mon","15:00","16:00"," "," "," ","TBD","Waiting List","4","941","58","941","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","110","2W2","2","Wed","15:00","16:00"," "," "," ","TBD","Waiting List","4","941","58","941","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","110","2W2","2","Fri","15:00","16:00"," "," "," ","TBD","Waiting List","4","941","58","941","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","110","101","1","Tue","12:30","14:00","CIRS","Centre for Interactive  Research on Sustainability","1250","KICZALES, GREGOR","Lecture","4","0","293","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","110","L2K","2","Thu","9:30","12:30","ICCS","Institute for Computing (ICICS/CS)","X260","TBD","Laboratory","n/a","3","23","3","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","110","101","1","Thu","12:30","14:00","CIRS","Centre for Interactive  Research on Sustainability","1250","KICZALES, GREGOR","Lecture","4","0","293","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","110","L2D","2","Wed","15:00","18:00","ICCS","Institute for Computing (ICICS/CS)","X260","TBD","Laboratory","n/a","6","20","6","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","221","L2N","2","Fri","10:00","12:00","ICCS","Institute for Computing (ICICS/CS)","015","TBD","Laboratory","n/a","1","25","0","1","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","110","L15","1","Thu","9:30","12:30","ICCS","Institute for Computing (ICICS/CS)","X250","TBD","Laboratory","n/a","0","27","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","221","L1J","1","Mon","9:00","11:00","ICCS","Institute for Computing (ICICS/CS)","X350","TBD","Laboratory","n/a","16","17","16","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","221","L2Q","2","Tue","9:00","11:00","ICCS","Institute for Computing (ICICS/CS)","015","TBD","Laboratory","n/a","23","3","0","23","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","110","L1C","1","Mon","15:00","18:00","ICCS","Institute for Computing (ICICS/CS)","X260","TBD","Laboratory","n/a","0","27","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","121","L1D","1","Mon","13:00","15:00","ICCS","Institute for Computing (ICICS/CS)","011","TBD","Laboratory","n/a","3","23","1","2","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","110","L1Z","1","Thu","17:00","20:00","ICCS","Institute for Computing (ICICS/CS)","X250","TBD","Laboratory","n/a","15","12","15","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","121","T1C","1","Mon","10:00","11:00","DMP","Hugh Dempster Pavilion","201","TBD","Tutorial","n/a","1","39","1","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","221","L2D","2","Mon","10:00","12:00","ICCS","Institute for Computing (ICICS/CS)","015","TBD","Laboratory","n/a","0","26","0","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","121","L1U","1","Mon","11:00","13:00","ICCS","Institute for Computing (ICICS/CS)","011","TBD","Laboratory","n/a","0","26","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","121","T1K","1","Wed","18:00","19:00","DMP","Hugh Dempster Pavilion","101","TBD","Tutorial","n/a","8","32","8","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","121","L1A","1","Wed","16:00","18:00","ICCS","Institute for Computing (ICICS/CS)","011","TBD","Laboratory","n/a","0","26","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","121","T1H","1","Thu","14:00","15:00","DMP","Hugh Dempster Pavilion","201","TBD","Tutorial","n/a","0","40","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","121","201","2","Mon","9:00","10:00","DMP","Hugh Dempster Pavilion","110","BELLEVILLE, PATRICE","Lecture","4","0","114","0","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","121","201","2","Wed","9:00","10:00","DMP","Hugh Dempster Pavilion","110","BELLEVILLE, PATRICE","Lecture","4","0","114","0","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","121","201","2","Fri","9:00","10:00","DMP","Hugh Dempster Pavilion","110","BELLEVILLE, PATRICE","Lecture","4","0","114","0","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","121","103","1","Tue","17:00","18:30","DMP","Hugh Dempster Pavilion","310","VOGT, RYAN","Lecture","4","0","116","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","121","103","1","Thu","17:00","18:30","DMP","Hugh Dempster Pavilion","310","VOGT, RYAN","Lecture","4","0","116","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","210","L1N","1","Wed","15:00","17:00","ICCS","Institute for Computing (ICICS/CS)","014","TBD","Laboratory","n/a","0","28","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","310","L2E","2","Wed","16:00","18:00","ICCS","Institute for Computing (ICICS/CS)","008","TBD","Laboratory","n/a","1","25","1","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","213","L2D","2","Mon","15:00","16:00","ICCS","Institute for Computing (ICICS/CS)","X251","TBD","Laboratory","n/a","4","24","4","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","213","L2D","2","Wed","15:00","17:00","ICCS","Institute for Computing (ICICS/CS)","X251","TBD","Laboratory","n/a","4","24","4","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","100","L1D","1","Wed","15:00","16:00","ICCS","Institute for Computing (ICICS/CS)","X050","TBD","Laboratory","n/a","0","24","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","210","L2F","2","Wed","9:00","11:00","ICCS","Institute for Computing (ICICS/CS)","014","TBD","Laboratory","n/a","0","24","0","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","221","L1B","1","Wed","9:00","11:00","ICCS","Institute for Computing (ICICS/CS)","X350","TBD","Laboratory","n/a","0","33","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","210","103","1","Mon","14:00","15:00","DMP","Hugh Dempster Pavilion","310","CARTER, PAUL MARTIN","Lecture","4","0","179","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","210","103","1","Wed","14:00","15:00","DMP","Hugh Dempster Pavilion","310","CARTER, PAUL MARTIN","Lecture","4","0","179","0","0","1","Sep 05, 2017","Dec 01, 2017"
